CODGEO,total_establishment,micro_firms,small_firms,medium_firms,large_firms,agriculture_est,industry_est,construction_est,commerce_transport_est,public_est
01001,14,12,0,0,0,2,0,3,7,2
01002,4,3,0,0,0,1,0,0,2,1
01004,586,419,110,19,2,1,31,58,410,86
01005,46,33,5,0,0,2,4,10,23,7
01006,2,2,0,0,0,0,0,0,1,1
01007,68,54,10,0,0,4,11,11,32,10
01008,25,19,1,0,0,0,0,7,15,3
01009,5,3,0,0,0,1,1,0,2,1
01010,17,14,1,1,0,1,3,5,5,3
01011,5,4,0,0,0,0,0,0,3,2
01012,8,5,2,0,0,0,2,2,2,2
01013,3,2,0,0,0,1,0,0,0,2
01014,229,153,47,14,0,1,53,16,145,14
01015,11,7,0,0,0,1,3,1,2,4
01016,7,6,1,0,0,0,1,2,2,2
01017,12,7,1,0,0,1,3,2,4,2
01019,1,1,0,0,0,0,0,0,0,1
01021,38,31,3,0,0,1,1,4,26,6
01022,47,39,5,0,0,0,5,6,28,8
01023,3,3,0,0,0,2,0,0,1,0
01024,80,62,6,5,0,1,8,12,52,7
01025,60,48,6,0,1,19,7,12,17,5
01026,34,27,5,1,0,0,4,1,18,11
01027,71,57,6,3,0,2,12,11,40,6
01028,16,15,0,0,0,3,1,2,8,2
01029,21,17,0,1,0,5,5,1,7,3
01030,14,10,2,0,0,0,1,2,9,2
01031,161,122,25,8,1,0,46,7,95,13
01032,97,70,17,4,0,0,23,18,48,8
01033,506,386,71,13,2,4,43,86,313,60
01034,401,298,54,18,3,6,38,32,264,61
01035,7,7,0,0,0,0,1,2,2,2
01036,19,17,1,0,0,5,1,3,8,2
01037,5,5,0,0,0,0,1,1,1,2
01038,17,12,2,0,0,2,1,4,8,2
01039,11,8,3,0,0,0,1,2,6,2
01040,5,5,0,0,0,2,0,0,2,1
01041,9,9,0,0,0,0,0,3,4,2
01042,5,1,1,0,0,1,0,1,2,1
01043,304,218,51,10,4,1,22,35,232,14
01044,13,12,1,0,0,2,1,4,4,2
01045,6,5,1,0,0,0,1,1,3,1
01046,18,15,1,0,0,3,0,5,8,2
01047,66,42,17,4,0,0,26,6,28,6
01049,98,69,16,6,0,2,13,18,58,7
01050,7,5,1,0,0,1,1,1,2,2
01051,1,1,0,0,0,0,0,0,0,1
01052,12,9,1,0,0,3,0,1,7,1
01053,1998,1407,340,81,25,5,101,103,1498,291
01054,15,13,1,0,0,1,0,5,5,4
01056,7,7,0,0,0,6,1,0,0,0
01057,11,7,2,0,0,1,3,1,4,2
01058,27,18,8,0,0,0,6,3,14,4
01060,16,13,0,0,0,2,2,4,5,3
01061,14,8,2,0,0,0,2,3,7,2
01062,14,10,2,1,0,1,3,0,8,2
01063,28,17,7,2,0,0,8,5,11,4
01064,22,12,4,2,1,1,2,1,12,6
01065,32,24,4,0,0,3,1,8,15,5
01066,3,2,0,0,0,1,1,0,0,1
01067,8,4,3,0,0,0,1,3,3,1
01068,18,15,2,0,0,0,2,3,10,3
01069,35,23,8,1,0,4,7,4,18,2
01071,83,66,12,2,0,0,2,15,56,10
01072,121,86,21,8,0,3,11,19,72,16
01073,20,19,1,0,0,2,1,8,7,2
01074,84,62,14,1,0,6,8,12,47,11
01075,55,36,9,2,0,5,8,11,27,4
01076,3,2,0,0,0,0,0,0,2,1
01077,1,1,0,0,0,0,0,0,0,1
01078,17,12,1,1,0,2,1,2,8,4
01079,34,29,3,1,0,5,1,2,17,9
01080,14,12,2,0,0,5,1,2,3,3
01081,15,12,1,0,1,0,2,2,7,4
01082,6,4,0,1,0,2,0,1,0,3
01083,29,28,1,0,0,0,4,11,11,3
01084,9,7,0,0,0,0,1,3,3,2
01085,11,10,0,0,0,4,0,2,4,1
01087,5,4,0,0,0,0,0,0,3,2
01088,33,26,5,0,0,0,3,7,19,4
01089,109,83,14,2,0,3,19,29,54,4
01090,11,11,0,0,0,1,0,3,3,4
01092,21,15,2,1,0,1,2,3,12,3
01093,233,173,33,9,2,2,27,30,147,27
01094,9,8,1,0,0,2,0,3,2,2
01095,9,7,0,1,0,2,2,1,2,2
01096,27,20,3,0,0,2,5,6,11,3
01098,38,26,12,0,0,0,10,5,21,2
01099,39,30,5,1,0,1,1,2,26,9
01100,3,3,0,0,0,0,0,1,1,1
01101,2,2,0,0,0,0,0,1,0,1
01102,22,20,1,1,0,4,3,5,8,2
01103,14,10,3,0,0,3,1,1,4,5
01104,16,12,2,0,0,1,3,2,7,3
01105,77,54,13,2,0,6,14,16,33,8
01106,2,2,0,0,0,0,1,0,0,1
01107,1,1,0,0,0,0,0,0,0,1
01108,33,28,3,1,0,1,7,2,14,9
01109,41,32,6,0,0,2,2,10,22,5
01110,2,1,0,0,0,0,0,1,0,1
01111,0,0,0,0,0,0,0,0,0,0
01112,11,10,1,0,0,0,2,2,5,2
