CODGEO,postcode,town_fullname,town_name,latitude,longitude,code_departement,departement_name,code_region,region_name
1001,1400,L'Abergement-Clémenciat,Abergement-Clémenciat,46.1534255214,4.92611354223,1,Ain,84.0,Auvergne-Rhône-Alpes
1002,1640,L'Abergement-de-Varey,Abergement-de-Varey,46.0091878776,5.42801696363,1,Ain,84.0,Auvergne-Rhône-Alpes
1004,1500,Ambérieu-en-Bugey,Ambérieu-en-Bugey,45.9608475114,5.3729257777,1,Ain,84.0,Auvergne-Rhône-Alpes
1005,1330,Ambérieux-en-Dombes,Ambérieux-en-Dombes,45.9961799872,4.91227250796,1,Ain,84.0,Auvergne-Rhône-Alpes
1006,1300,Ambléon,Ambléon,45.7494989044,5.59432017366,1,Ain,84.0,Auvergne-Rhône-Alpes
1007,1500,Ambronay,Ambronay,46.0055913782,5.35760660735,1,Ain,84.0,Auvergne-Rhône-Alpes
1008,1500,Ambutrix,Ambutrix,45.9367134524,5.3328092349,1,Ain,84.0,Auvergne-Rhône-Alpes
1009,1300,Andert-et-Condon,Andert-et-Condon,45.7873565333,5.65788307924,1,Ain,84.0,Auvergne-Rhône-Alpes
1010,1350,Anglefort,Anglefort,45.9093715116,5.79516005674,1,Ain,84.0,Auvergne-Rhône-Alpes
1011,1100,Apremont,Apremont,46.2054981558,5.65781475272,1,Ain,84.0,Auvergne-Rhône-Alpes
1012,1110,Aranc,Aranc,46.0015344029,5.51130637511,1,Ain,84.0,Auvergne-Rhône-Alpes
1013,1230,Arandas,Arandas,45.8908155275,5.49870439091,1,Ain,84.0,Auvergne-Rhône-Alpes
1014,1100,Arbent,Arbent,46.2834936005,5.69061651221,1,Ain,84.0,Auvergne-Rhône-Alpes
1015,1300,Arboys en Bugey,Arboys en Bugey,45.7237621545,5.65263086429,1,Ain,84.0,Auvergne-Rhône-Alpes
1016,1190,Arbigny,Arbigny,46.4776762988,4.9599416863,1,Ain,84.0,Auvergne-Rhône-Alpes
1017,1230,Argis,Argis,45.9337182132,5.48251100314,1,Ain,84.0,Auvergne-Rhône-Alpes
1019,1510,Armix,Armix,45.8541838459,5.58357838695,1,Ain,84.0,Auvergne-Rhône-Alpes
1021,1480,Ars-sur-Formans,Ars-sur-Formans,45.9934611,4.82199649494,1,Ain,84.0,Auvergne-Rhône-Alpes
1022,1510,Artemare,Artemare,45.8695891748,5.69065283943,1,Ain,84.0,Auvergne-Rhône-Alpes
1023,1570,Asnières-sur-Saône,Asnières-sur-Saône,46.3857281418,4.88387478623,1,Ain,84.0,Auvergne-Rhône-Alpes
1024,1340,Attignat,Attignat,46.2861802203,5.1795233845,1,Ain,84.0,Auvergne-Rhône-Alpes
1025,1380,Bâgé-Dommartin,Bâgé-Dommartin,46.3233203302,4.9528678933,1,Ain,84.0,Auvergne-Rhône-Alpes
1026,1380,Bâgé-le-Châtel,Bâgé-le-Châtel,46.3077069231,4.92862084189,1,Ain,84.0,Auvergne-Rhône-Alpes
1027,1360,Balan,Balan,45.8311226453,5.10780019249,1,Ain,84.0,Auvergne-Rhône-Alpes
1028,1990,Baneins,Baneins,46.1141214445,4.90146475101,1,Ain,84.0,Auvergne-Rhône-Alpes
1029,1270,Beaupont,Beaupont,46.4288360203,5.26003405676,1,Ain,84.0,Auvergne-Rhône-Alpes
1030,1480,Beauregard,Beauregard,46.0008580204,4.75600664694,1,Ain,84.0,Auvergne-Rhône-Alpes
1031,1100,Bellignat,Bellignat,46.2373497134,5.6360052884,1,Ain,84.0,Auvergne-Rhône-Alpes
1032,1360,Béligneux,Béligneux,45.8591464826,5.13989505865,1,Ain,84.0,Auvergne-Rhône-Alpes
1033,1200,Bellegarde-sur-Valserine,Bellegarde-sur-Valserine,46.1067901755,5.83202736464,1,Ain,84.0,Auvergne-Rhône-Alpes
1034,1300,Belley,Belley,45.7494697806,5.68412365526,1,Ain,84.0,Auvergne-Rhône-Alpes
1035,1130,Belleydoux,Belleydoux,46.2530316409,5.78471723698,1,Ain,84.0,Auvergne-Rhône-Alpes
1036,1260,Belmont-Luthézieu,Belmont-Luthézieu,45.8847475883,5.65115788055,1,Ain,84.0,Auvergne-Rhône-Alpes
1037,1470,Bénonces,Bénonces,45.8374974718,5.48285330863,1,Ain,84.0,Auvergne-Rhône-Alpes
1038,1370,Bény,Bény,46.3188629218,5.28253433405,1,Ain,84.0,Auvergne-Rhône-Alpes
1039,1350,Béon,Béon,45.8568920052,5.75220315052,1,Ain,84.0,Auvergne-Rhône-Alpes
1040,1340,Béréziat,Béréziat,46.3674371012,5.04021655965,1,Ain,84.0,Auvergne-Rhône-Alpes
1041,1500,Bettant,Bettant,45.9368718303,5.36667617009,1,Ain,84.0,Auvergne-Rhône-Alpes
1042,1290,Bey,Bey,46.2191748844,4.84642690241,1,Ain,84.0,Auvergne-Rhône-Alpes
1043,1700,Beynost,Beynost,45.8390325448,4.99738002182,1,Ain,84.0,Auvergne-Rhône-Alpes
1044,1200,Billiat,Billiat,46.0791346715,5.76591818163,1,Ain,84.0,Auvergne-Rhône-Alpes
1045,1330,Birieux,Birieux,45.9533995502,5.03666479984,1,Ain,84.0,Auvergne-Rhône-Alpes
1046,1290,Biziat,Biziat,46.2266794269,4.94084673168,1,Ain,84.0,Auvergne-Rhône-Alpes
1047,1150,Blyes,Blyes,45.8469686113,5.25166055884,1,Ain,84.0,Auvergne-Rhône-Alpes
1049,1120,La Boisse,Boisse,45.8446213549,5.02783224111,1,Ain,84.0,Auvergne-Rhône-Alpes
