CODGEO,town_fullname,avg_salary_all,avg_salary_exec,avg_salary_midmanagement,avg_salary_employee,avg_salary_worker,avg_salary_youngage,avg_salary__mediumage,avg_salary_oldage,gender_pay_gap
10003,Aix-Villemaur-Pâlis,13.09,22.59,14.54,11.16,11.49,9.71,12.98,14.4,-2.52
10006,Arcis-sur-Aube,12.89,23.51,15.46,10.74,11.17,10.48,12.57,14.98,-2.35
10033,Bar-sur-Aube,12.49,22.56,14.68,10.98,10.89,10.22,12.26,13.66,-1.52
10034,Bar-sur-Seine,12.25,23.22,14.24,10.31,10.35,10.23,11.82,14.14,-1.02
10060,Bréviandes,14.15,24.03,14.63,11.13,10.97,9.94,14.08,15.52,-2.14
10064,Brienne-le-Château,12.43,22.72,14.66,10.3,10.77,10.26,12.31,13.26,-1.4
10081,"La Chapelle-Saint-Luc",12.17,21.55,14.46,10.48,10.66,10.16,11.99,13.55,-1.03
10209,Lusigny-sur-Barse,14.31,23.76,15.32,11.43,11.54,10.06,14.55,15.2,-1.69
10265,"Les Noës-près-Troyes",12.32,20.91,14.24,10.44,10.84,9.89,12.45,13.09,-1.71
10268,Nogent-sur-Seine,14.27,24.95,15.49,11.37,11.31,10.37,14.42,15.57,-1.77
10297,Pont-Sainte-Marie,13.02,23.22,14.97,10.74,10.69,10.42,12.7,15.06,-1.88
10321,"La Rivière-de-Corps",16.15,24.85,17.36,11.83,11.14,10.88,15.65,18.46,-4.44
10323,Romilly-sur-Seine,12.16,21.09,13.96,10.81,10.92,10.06,12.07,13.06,-1.51
10325,Rosières-près-Troyes,15.24,24.37,15.12,11.6,11.83,10.65,15.43,16.53,-3.38
10333,Saint-André-les-Vergers,14.07,24.08,15.29,11.13,10.94,10.55,14.11,15.57,-2.15
10340,Saint-Germain,14.17,23.19,15.55,11.7,11.21,10.2,13.92,15.82,-3.5
10343,Saint-Julien-les-Villas,14.07,23.49,15.21,10.74,11.01,10.01,13.72,16.05,-1.67
10349,Saint-Lyé,15.12,23.47,16.11,12.13,11.35,9.75,15.22,16.31,-2.95
10357,Saint-Parres-aux-Tertres,13.47,23.3,16.32,11.13,10.11,9.66,13.31,15.27,-2.58
10362,Sainte-Savine,14.14,24.42,14.97,11.06,10.95,10.42,13.81,16.64,-1.96
10387,Troyes,13,23.11,14.34,10.71,10.47,10.25,13.09,14.66,-1.54
10401,Vendeuvre-sur-Barse,12.33,19.18,14.45,11.27,10.78,9.81,12.3,13.28,-1.66
10420,Villenauxe-la-Grande,14.33,24.73,17.16,11.45,11.16,10.73,14.44,15.65,-2.98
11012,Argeliers,13.62,22.03,16.24,10.97,11.18,9.95,13.66,14.48,-2.32
11049,Bram,12.8,20.88,15.38,11.38,9.85,9.75,12.87,13.75,-1.82
11069,Carcassonne,12.73,22.47,14.51,10.62,10.07,10.04,12.43,14.53,-1.16
11076,Castelnaudary,12.48,22.01,14.92,10.36,10.19,9.82,12.25,14.05,-1.42
11099,Conques-sur-Orbiel,13.03,20.81,14.2,11.44,10.82,10.01,12.87,14.53,-1.3
11106,Coursan,12.76,20.52,14.78,11.05,10.92,10.16,12.61,14.2,-1.16
11116,Cuxac-d'Aude,12.75,22.09,15.2,11.58,9.72,9.32,12.25,14.55,-1.51
11145,Fleury,13.07,20.33,14.26,10.77,10.8,9.79,13.05,14.26,-1.82
11170,Gruissan,13.66,22.29,15.49,10.98,10.5,10.04,13.14,15.44,-2.01
11202,Leucate,12.98,22.39,16.11,10.72,8.97,9.48,12.24,15.21,0.29
11203,Lézignan-Corbières,12.5,22.31,14.57,10.76,10.42,9.81,12.19,14.22,-1.01
11206,Limoux,12.26,22.17,13.87,10.57,9.89,10.13,12.07,13.51,-0.65
11258,Moussan,13.98,21.23,15.78,11.69,11.28,9.99,13.76,15.68,-2.2
11262,Narbonne,13.38,22.78,14.85,11,10.37,10.23,13.16,15.33,-1.47
11266,Port-la-Nouvelle,12.28,19.39,15.38,10.67,10.66,10.14,12.15,13.64,-1.74
11269,Ouveillan,12.88,19.85,14.74,10.94,11.02,10.36,12.93,13.74,-1.39
11272,Palaja,14.58,23.32,15.91,11.69,10.93,10.73,14.16,16.3,-2.22
11279,Pennautier,13.16,24.01,15.37,11.38,9.62,9.17,12.82,15.09,-2.15
11304,Quillan,11.8,19.33,13.52,9.91,10.77,9.28,11.47,12.91,-1.01
11353,Saint-Marcel-sur-Aude,13.06,17.69,15.05,11.92,11.22,10.32,13.12,13.88,-2.38
