%_women_in_managerial_positions,%_women_in_senior_middle_management,%_women_in_junior_management
35.89,33.46,2.4299999999999997
37.6,36.37,1.230000000000004
37.88,37.01,0.8700000000000045
37.83,36.46,1.3699999999999974
38.5,36.79,1.7100000000000009
38.09,37.37,0.720000000000006
38.54,38.59,-0.05000000000000426
39.34,39.13,0.21000000000000085
39.32,39.2,0.11999999999999744
36.0,35.58,0.4200000000000017
32.74,32.03,0.7100000000000009
31.66,30.93,0.7300000000000004
32.91,31.07,1.8399999999999963
33.44,32.64,0.7999999999999972
34.44,34.38,0.05999999999999517
34.67,34.3,0.37000000000000455
35.53,34.95,0.5799999999999983
37.79,36.77,1.019999999999996
39.89,39.39,0.5
